Collector|File|GoField|JSONTag
alibaba|alibaba.go|InstanceID|instance_id
alibaba|alibaba.go|InstanceName|instance_name
alibaba|alibaba.go|InstanceType|instance_type
alibaba|alibaba.go|Hostname|hostname
alibaba|alibaba.go|ImageID|image_id
alibaba|alibaba.go|SerialNumber|serial_number
alibaba|alibaba.go|NetworkType|network_type
alibaba|alibaba.go|OwnerAccountID|owner_account_id
alibaba|alibaba.go|SourceAddress|source_address
alibaba|alibaba.go|Region|region
alibaba|alibaba.go|Zone|zone
alibaba|alibaba.go|VirtualizationSolution|virtualization_solution
alibaba|alibaba.go|VirtualizationSolutionVersion|virtualization_solution_version
alibaba|alibaba.go|SpotTerminationTime|spot_termination_time
alibaba|alibaba.go|MAC|mac
alibaba|alibaba.go|PrivateIPv4|private_ipv4
alibaba|alibaba.go|PublicIPv4|public_ipv4
alibaba|alibaba.go|VPCID|vpc_id
alibaba|alibaba.go|VPCCIDRBlock|vpc_cidr_block
alibaba|alibaba.go|VSwitchID|vswitch_id
alibaba|alibaba.go|VSwitchCIDR|vswitch_cidr_block
alibaba|alibaba.go|Nameservers|dns_nameservers
alibaba|alibaba.go|NTPServers|ntp_servers
alibaba|alibaba.go|NetworkInterfaces|network_interfaces
alibaba|alibaba.go|MaxBandwidthIngress|max_bandwidth_ingress
alibaba|alibaba.go|MaxBandwidthEgress|max_bandwidth_egress
alibaba|alibaba.go|RAMRoleName|ram_role_name
alibaba|alibaba.go|Disks|disks
alibaba|alibaba.go|Marketplace|marketplace
alibaba|alibaba.go|Tags|tags
alibaba|alibaba.go|NetworkInterfaceID|network_interface_id
alibaba|alibaba.go|PrimaryIPAddress|primary_ip_address
alibaba|alibaba.go|PrivateIPv4s|private_ipv4s
alibaba|alibaba.go|IPv4Prefixes|ipv4_prefixes
alibaba|alibaba.go|Netmask|netmask
alibaba|alibaba.go|Gateway|gateway
alibaba|alibaba.go|VPCID|vpc_id
alibaba|alibaba.go|VPCCIDRBlock|vpc_cidr_block
alibaba|alibaba.go|VPCIPv6CIDRBlocks|vpc_ipv6_cidr_blocks
alibaba|alibaba.go|VSwitchID|vswitch_id
alibaba|alibaba.go|VSwitchCIDRBlock|vswitch_cidr_block
alibaba|alibaba.go|VSwitchIPv6CIDRBlock|vswitch_ipv6_cidr_block
alibaba|alibaba.go|IPv6s|ipv6s
alibaba|alibaba.go|IPv6Prefixes|ipv6_prefixes
alibaba|alibaba.go|IPv6Gateway|ipv6_gateway
alibaba|alibaba.go|ID|id
alibaba|alibaba.go|Name|name
alibaba|alibaba.go|ProductCode|product_code
alibaba|alibaba.go|ChargeType|charge_type
azure|azure.go|VMID|vm_id
azure|azure.go|Name|name
azure|azure.go|VMSize|vm_size
azure|azure.go|ResourceID|resource_id
azure|azure.go|ResourceGroupName|resource_group_name
azure|azure.go|VMScaleSetName|vm_scale_set_name
azure|azure.go|Priority|priority
azure|azure.go|EvictionPolicy|eviction_policy
azure|azure.go|Location|location
azure|azure.go|Zone|zone
azure|azure.go|PlacementGroupID|placement_group_id
azure|azure.go|PlatformFaultDomain|platform_fault_domain
azure|azure.go|PlatformUpdateDomain|platform_update_domain
azure|azure.go|SubscriptionID|subscription_id
azure|azure.go|AzEnvironment|az_environment
azure|azure.go|Offer|offer
azure|azure.go|Publisher|publisher
azure|azure.go|SKU|sku
azure|azure.go|Version|version
azure|azure.go|LicenseType|license_type
azure|azure.go|OSType|os_type
azure|azure.go|Provider|provider
azure|azure.go|Plan|plan
azure|azure.go|StorageProfile|storage_profile
azure|azure.go|Tags|tags
azure|azure.go|TagsList|tags_list
azure|azure.go|UserData|user_data
azure|azure.go|CustomData|custom_data
azure|azure.go|IsHostCompatibilityLayer|is_host_compatibility_layer_vm
azure|azure.go|SecurityProfile|security_profile
azure|azure.go|PublicKeys|public_keys
azure|azure.go|Host|host
